Acipenser ruthenus	GCA_902713425.1	ERR6635593	2
Accipiter gentilis	GCA_929443795.1	ERR7254635	2
Marthasterias glacialis	GCA_911728455.1	ERR6436374	9
Pholis gunnellus	GCA_910591455.1	ERR6436364,ERR6412365	2
Taurulus bubalis	GCA_910589615.1	ERR6412369	2
Apoderus coryli	GCA_911728435.1	ERR6412370	5
Cantharis rustica	GCA_911387805.1	ERR6558187	5
Coccinella septempunctata	GCA_907165205.1	ERR6558185,ERR6436372	5
Harmonia axyridis	GCA_914767665.1	ERR6565943	5
Malachius bipustulatus	GCA_910589415.1	ERR6436375	5
Ocypus olens	GCA_910593695.1	ERR6590589,ERR6412375	5
Pterostichus madidus	GCA_911728475.1	ERR6606793	5
Pyrochroa serraticornis	GCA_905333025.1	ERR6412361	5
Rhagonycha fulva	GCA_905340355.1	ERR6606788	5
Bibio marci	GCA_910594885.1	ERR6412035	5
Bellardia pandia	GCA_916048285.1	ERR6939222,ERR6939221	5
Cheilosia vulpina	GCA_916610125.1	ERR6807994	5
Chrysotoxum bicinctum	GCA_911387755.1	ERR6558188,ERR6412376	5
Coremacera marginata	GCA_914767935.1	ERR6412041	5
Eristalis arbustorum	GCA_916610145.1	ERR7057611	5
Eristalis pertinax	GCA_907269125.1	ERR6560799	5
Eristalis tenax	GCA_905231855.1	ERR6565938	5
Gymnosoma rotundatum	GCA_916610165.1	ERR6939227	5
Melanostoma mellinum	GCA_914767635.1	ERR6636093,ERR6636092	5
Sicus ferrugineus	GCA_922984085.1	ERR7123980	5
Tachina fera	GCA_905220375.1	ERR6608654	5
Xanthogramma pedissequum	GCA_910595825.1	ERR7254634,ERR6412036	5
Acanthosoma haemorrhoidale	GCA_930367205.1	ERR6808044	5
Aelia acuminata	GCA_911387785.1	ERR6406217,ERR6544656	5
Abrostola tripartita	GCA_905340225.1	ERR6412364	5
Acronicta aceris	GCA_910591435.1	ERR6406216	5
Inachis io	GCA_905147045.1	ERR6565934	5
Nymphalis urticae	GCA_905147175.1	ERR6590580	5
Amphipyra berbera	GCA_910594945.1	ERR6436378	5
Aporia crataegi	GCA_912999735.1	ERR6544652	5
Autographa gamma	GCA_905146925.1	ERR6548401	5
Biston betularia	GCA_905404145.1	ERR6412032,ERR6436365,ERR6412367	5
Boloria selene	GCA_905231865.2	ERR6412358	5
Catocala fraxini	GCA_930367265.1	ERR8482049,ERR8482050	5
Celastrina argiolus	GCA_905187575.1	ERR6558180	5
Colias croceus	GCA_905220415.1	ERR6558184	5
Cosmia trapezina	GCA_905163495.1	ERR6558183,ERR6558182,ERR6558181	5
Deilephila porcellus	GCA_905220455.1	ERR6412027,ERR6406201	5
Euproctis similis	GCA_905147225.1	ERR6406199,ERR6565936	5
Glaucopsyche alexis	GCA_905404095.1	ERR6436366	5
Gymnoscelis rufifasciata	GCA_929108375.1	ERR7221644	5
Hydraecia micacea	GCA_914767645.1	ERR6939243	5
Hypena proboscidalis	GCA_905147285.1	ERR6406200	5
Laothoe populi	GCA_905220505.1	ERR6412028,ERR6406202	5
Luperina testacea	GCA_927399505.1	ERR7221643	5
Lycaena phlaeas	GCA_905333005.1	ERR6576321	5
Lymantria monacha	GCA_905163515.1	ERR6576316,ERR6576315	5
Maniola jurtina	GCA_905333055.1	ERR6576323	5
Mellicta athalia	GCA_905220545.1	ERR6576319	5
Melitaea cinxia	GCA_905220565.1	ERR6576320	5
Melanargia galathea	GCA_920104075.1	ERR7224283,ERR6808026	5
Mimas tiliae	GCA_905332985.1	ERR6394585,ERR6412362	5
Mythimna ferrago	GCA_910589285.1	ERR6436381	5
Noctua fimbriata	GCA_905163415.1	ERR6590582	5
Noctua pronuba	GCA_905220335.1	ERR6590587	5
Notodonta dromedarius	GCA_905147325.1	ERR6590583	5
Notocelia uddmanniana	GCA_905163555.1	ERR6590584	5
Notodonta ziczac	GCA_918843915.1	ERR6939251	5
Nymphalis polychloros	GCA_905220585.1	ERR6590585	5
Pararge aegeria	GCA_905163445.1	ERR6594493,ERR6594492	5
Parapoynx stratiotata	GCA_910589355.1	ERR6594500	5
Phalera bucephala	GCA_905147815.2	ERR6594495,ERR6594494	5
Pheosia tremula	GCA_905333125.1	ERR6412031,ERR6412363	5
Phlogophora meticulosa	GCA_905147745.1	ERR6594496	5
Pieris brassicae	GCA_905147105.1	ERR6594497	5
Pieris napi	GCA_905475465.1	ERR6594498	5
Pieris rapae	GCA_905147795.1	ERR6606787	5
Pyrgus malvae	GCA_911387765.1	ERR6606796,ERR6606794,ERR6606795	5
Spilosoma lubricipeda	GCA_905220595.1	ERR6406203	5
Thyatira batis	GCA_905147785.1	ERR6608652	5
Thymelicus sylvestris	GCA_911387775.1	ERR6608659	5
Tinea trinotella	GCA_905220615.1	ERR6608655	5
Vanessa atalanta	GCA_905147765.2	ERR6608650	5
Vanessa cardui	GCA_905220365.1	ERR6608653	5
Xestia xanthographa	GCA_905147715.1	ERR6635594	5
Chrysoperla carnea	GCA_905475395.1	ERR6406208	5
Ischnura elegans	GCA_921293095.1	ERR6939230,ERR6907825	5
Nemurella pictetii	GCA_921293315.1	ERR6939287,ERR6939286,ERR6909090,ERR6808073	5
Anoplius nigerrimus	GCA_914767735.1	ERR6939224	5
Bombus hortorum	GCA_905332935.1	ERR6548407	5
Cerceris rybyensis	GCA_910591515.1	ERR6436387	5
Dolichovespula sylvestris	GCA_918808275.1	ERR6808023	5
Ichneumon xanthorius	GCA_917499995.1	ERR6808013	5
Lasioglossum lativentre	GCA_916610255.1	ERR6939226	5
Macropis europaea	GCA_916610135.1	ERR6939238	5
Seladonia tumulorum	GCA_913789895.1	ERR6807989	5
Sphecodes monilicornis	GCA_913789915.1	ERR6939223	5
Tenthredo notha	GCA_914767705.1	ERR6939232	5
Vespa crabro	GCA_910589235.1	ERR6406214,ERR6608658,ERR6608657	5
Vespula germanica	GCA_905340365.1	ERR6635596	5
Vespula vulgaris	GCA_905475345.1	ERR6635597	5
Diadumene lineata	GCA_918843875.1	ERR6808024	4
Aplidium turbinatum	GCA_918807975.1	ERR6412043,ERR6412042	13
Canis lupus	GCA_905319855.2	ERR6412029	2
Cervus elaphus	GCA_910594005.1	ERR6406213	2
Rattus norvegicus	GCA_015227675.2	ERR5310327	2
Lineus longissimus	GCA_910592395.1	ERR6412039	5
Gari tellinella	GCA_922989275.1	ERR7123970	5
Patella pellucida	GCA_917208275.1	ERR6412040	5
